City,State,code,population
Edinburg city,Texas,TX,"108,733"
Spokane Valley city,Washington,WA,"108,267"
Jurupa Valley city,California,CA,"108,154"
Bend city,Oregon,OR,"106,926"
West Covina city,California,CA,"106,920"
Boulder city,Colorado,CO,"106,803"
Palm Coast city,Florida,FL,"106,729"
Lee's Summit city,Missouri,MO,"106,419"
Dearborn city,Michigan,MI,"106,377"
Green Bay city,Wisconsin,WI,"106,311"
St. George city,Utah,UT,"106,288"
Brockton city,Massachusetts,MA,"105,788"
Renton city,Washington,WA,"105,543"
Sandy Springs city,Georgia,GA,"105,505"
Rialto city,California,CA,"104,918"
El Monte city,California,CA,"104,639"
Vacaville city,California,CA,"103,994"
Fishers city,Indiana,IN,"103,986"
South Bend city,Indiana,IN,"103,713"
Carmel city,Indiana,IN,"103,606"
Yuma city,Arizona,AZ,"103,559"
Burbank city,California,CA,"103,533"
Lynn city,Massachusetts,MA,"103,489"
Quincy city,Massachusetts,MA,"103,434"
El Cajon city,California,CA,"103,291"
Fayetteville city,Arkansas,AR,"103,134"
Suffolk city,Virginia,VA,"103,105"
San Mateo city,California,CA,"103,006"
Chico city,California,CA,"102,911"
Inglewood city,California,CA,"102,774"
Wichita Falls city,Texas,TX,"102,372"
Boca Raton city,Florida,FL,"102,238"
Hesperia city,California,CA,"101,836"
Daly City city,California,CA,"101,418"
Georgetown city,Texas,TX,"101,344"
New Bedford city,Massachusetts,MA,"101,318"
Albany city,New York,NY,"101,317"
Davenport city,Iowa,IA,"100,938"
Plantation city,Florida,FL,"100,694"
Deltona city,Florida,FL,"100,513"
Federal Way city,Washington,WA,"100,252"
San Angelo city,Texas,TX,"100,159"
Tracy city,California,CA,"100,136"
Sunrise city,Florida,FL,"100,128"
Fort Myers city,Florida,FL,"99,918"
Longmont city,Colorado,CO,"99,818"
Kenosha city,Wisconsin,WI,"99,578"
Vista city,California,CA,"99,322"
Edmond city,Oklahoma,OK,"99,040"
Beaverton city,Oregon,OR,"98,302"
Norwalk city,California,CA,"98,230"
Roanoke city,Virginia,VA,"97,912"
Yakima city,Washington,WA,"97,390"
Lawrence city,Kansas,KS,"97,271"
Orem city,Utah,UT,"96,646"
San Marcos city,California,CA,"96,620"
Avondale city,Arizona,AZ,"96,609"
Portsmouth city,Virginia,VA,"96,482"
Temple city,Texas,TX,"96,267"
Merced city,California,CA,"96,073"
Reading city,Pennsylvania,PA,"96,000"
