City,State,code,population
Somerton city,Arizona,AZ,"14,902"
Gloversville city,New York,NY,"14,894"
Middlesex borough,New Jersey,NJ,"14,874"
Port Wentworth city,Georgia,GA,"14,865"
Hereford city,Texas,TX,"14,860"
Pacific Grove city,California,CA,"14,851"
Shepherdsville city,Kentucky,KY,"14,837"
Dumas city,Texas,TX,"14,834"
Oldsmar city,Florida,FL,"14,831"
Norridge village,Illinois,IL,"14,817"
Mapleton city,Utah,UT,"14,812"
Henderson city,North Carolina,NC,"14,807"
Livingston city,California,CA,"14,767"
Macomb city,Illinois,IL,"14,765"
Moultrie city,Georgia,GA,"14,756"
Shiloh village,Illinois,IL,"14,754"
Hopatcong borough,New Jersey,NJ,"14,750"
Hutchinson city,Minnesota,MN,"14,708"
Johnson City village,New York,NY,"14,698"
Talladega city,Alabama,AL,"14,693"
Whitehall borough,Pennsylvania,PA,"14,678"
Newcastle city,Oklahoma,OK,"14,677"
Chesterton town,Indiana,IN,"14,655"
Jacksonville city,Alabama,AL,"14,651"
Worthington city,Ohio,OH,"14,649"
Reidsville city,North Carolina,NC,"14,646"
Chatham village,Illinois,IL,"14,639"
Jacksonville city,Texas,TX,"14,639"
Powell city,Ohio,OH,"14,613"
Morris city,Illinois,IL,"14,587"
Bainbridge city,Georgia,GA,"14,586"
Greensburg city,Pennsylvania,PA,"14,586"
Riverdale city,Georgia,GA,"14,586"
Roanoke Rapids city,North Carolina,NC,"14,573"
Glenpool city,Oklahoma,OK,"14,567"
Beech Grove city,Indiana,IN,"14,566"
Lindenhurst village,Illinois,IL,"14,564"
Whitestown town,Indiana,IN,"14,564"
Jasper city,Alabama,AL,"14,561"
Fraser city,Michigan,MI,"14,549"
Owosso city,Michigan,MI,"14,544"
Sterling city,Illinois,IL,"14,535"
Florham Park borough,New Jersey,NJ,"14,533"
Whitefish Bay village,Wisconsin,WI,"14,532"
Huron city,South Dakota,SD,"14,515"
Rogers city,Minnesota,MN,"14,493"
Elizabethton city,Tennessee,TN,"14,461"
St. Helens city,Oregon,OR,"14,460"
Glens Falls city,New York,NY,"14,455"
Greendale village,Wisconsin,WI,"14,455"
Washington Court House city,Ohio,OH,"14,446"
Swansea village,Illinois,IL,"14,445"
Alexander City city,Alabama,AL,"14,439"
Circleville city,Ohio,OH,"14,433"
Parlier city,California,CA,"14,429"
Somerville borough,New Jersey,NJ,"14,428"
Clarkston city,Georgia,GA,"14,416"
Lakeland city,Tennessee,TN,"14,416"
Dardenne Prairie city,Missouri,MO,"14,407"
Brainerd city,Minnesota,MN,"14,400"
Channahon village,Illinois,IL,"14,392"
Weddington town,North Carolina,NC,"14,391"
Roselle Park borough,New Jersey,NJ,"14,390"
Glendale city,Wisconsin,WI,"14,381"
Ozark city,Alabama,AL,"14,368"
McFarland city,California,CA,"14,365"
Collingswood borough,New Jersey,NJ,"14,344"
Beaufort city,South Carolina,SC,"14,334"
East Wenatchee city,Washington,WA,"14,330"
Scottsbluff city,Nebraska,NE,"14,323"
Coldwater city,Michigan,MI,"14,314"
Forest Hill city,Texas,TX,"14,314"
Great Bend city,Kansas,KS,"14,306"
Salem Lakes village,Wisconsin,WI,"14,302"
Indiana borough,Pennsylvania,PA,"14,294"
Tega Cay city,South Carolina,SC,"14,294"
Red Bluff city,California,CA,"14,286"
Speedway town,Indiana,IN,"14,268"
Fergus Falls city,Minnesota,MN,"14,258"
Lumberton city,Texas,TX,"14,255"
Harrison village,Wisconsin,WI,"14,254"
Dunmore borough,Pennsylvania,PA,"14,249"
Natchez city,Mississippi,MS,"14,233"
Corinth city,Mississippi,MS,"14,219"
Beach Park village,Illinois,IL,"14,212"
Plover village,Wisconsin,WI,"14,208"
Lewisville town,North Carolina,NC,"14,203"
Mount Vernon city,Illinois,IL,"14,162"
Lake Elmo city,Minnesota,MN,"14,161"
Willowick city,Ohio,OH,"14,159"
North Mankato city,Minnesota,MN,"14,142"
Callaway city,Florida,FL,"14,138"
Trenton city,Ohio,OH,"14,131"
Hickory Hills city,Illinois,IL,"14,118"
Avenal city,California,CA,"14,108"
Bardstown city,Kentucky,KY,"14,104"
Bellefontaine city,Ohio,OH,"14,100"
Pell City city,Alabama,AL,"14,094"
Grass Valley city,California,CA,"14,085"
Milford city,Delaware,DE,"14,079"
McPherson city,Kansas,KS,"14,068"
Lone Tree city,Colorado,CO,"14,061"
Wauconda village,Illinois,IL,"14,055"
Sharonville city,Ohio,OH,"14,040"
Chicago Ridge village,Illinois,IL,"14,036"
McMinnville city,Tennessee,TN,"14,032"
Marshall city,Minnesota,MN,"13,996"
Robbinsdale city,Minnesota,MN,"13,993"
Destin city,Florida,FL,"13,991"
Auburn city,Indiana,IN,"13,989"
Wood Dale city,Illinois,IL,"13,983"
Seabrook city,Texas,TX,"13,976"
Federal Heights city,Colorado,CO,"13,971"
New Ulm city,Minnesota,MN,"13,970"
Pineville city,Louisiana,LA,"13,966"
New Providence borough,New Jersey,NJ,"13,957"
College Park city,Georgia,GA,"13,953"
Brecksville city,Ohio,OH,"13,951"
Woodinville city,Washington,WA,"13,942"
Allouez village,Wisconsin,WI,"13,923"
King City city,California,CA,"13,920"
Emeryville city,California,CA,"13,912"
Fruita city,Colorado,CO,"13,912"
Chino Valley town,Arizona,AZ,"13,911"
South Sioux City city,Nebraska,NE,"13,910"
South Daytona city,Florida,FL,"13,906"
Mill Valley city,California,CA,"13,904"
Miami Springs city,Florida,FL,"13,901"
Box Elder city,South Dakota,SD,"13,887"
Glen Carbon village,Illinois,IL,"13,883"
Midlothian village,Illinois,IL,"13,870"
Hardeeville city,South Carolina,SC,"13,862"
Clarksdale city,Mississippi,MS,"13,861"
New Franklin city,Ohio,OH,"13,859"
Bedford city,Indiana,IN,"13,853"
Forest Park village,Illinois,IL,"13,846"
Gonzales city,Louisiana,LA,"13,837"
Martinsville city,Virginia,VA,"13,834"
Sauk Rapids city,Minnesota,MN,"13,832"
Waconia city,Minnesota,MN,"13,831"
Beachwood city,Ohio,OH,"13,820"
Spearfish city,South Dakota,SD,"13,803"
Wilkinsburg borough,Pennsylvania,PA,"13,800"
Newport city,Kentucky,KY,"13,792"
Marshall city,Missouri,MO,"13,791"
Pierre city,South Dakota,SD,"13,788"
Fountain Inn city,South Carolina,SC,"13,786"
Neosho city,Missouri,MO,"13,782"
Auburn city,California,CA,"13,780"
Worthington city,Minnesota,MN,"13,754"
Snoqualmie city,Washington,WA,"13,748"
Festus city,Missouri,MO,"13,730"
Harrison city,Arkansas,AR,"13,723"
Ephrata borough,Pennsylvania,PA,"13,719"
Port Neches city,Texas,TX,"13,709"
Trophy Club town,Texas,TX,"13,704"
Lyndhurst city,Ohio,OH,"13,700"
Palmetto city,Florida,FL,"13,682"
Andrews city,Texas,TX,"13,677"
Fernandina Beach city,Florida,FL,"13,672"
Waycross city,Georgia,GA,"13,671"
Superior town,Colorado,CO,"13,654"
Portland city,Tennessee,TN,"13,651"
Berthoud town,Colorado,CO,"13,648"
Cayce city,South Carolina,SC,"13,645"
New Carrollton city,Maryland,MD,"13,645"
Greenwood city,Mississippi,MS,"13,627"
Maumee city,Ohio,OH,"13,625"
Steamboat Springs city,Colorado,CO,"13,620"
Blue Ash city,Ohio,OH,"13,616"
Olean city,New York,NY,"13,614"
Moody city,Alabama,AL,"13,596"
Alcoa city,Tennessee,TN,"13,588"
Kilgore city,Texas,TX,"13,583"
Eatontown borough,New Jersey,NJ,"13,582"
Athens city,Texas,TX,"13,575"
Newton city,North Carolina,NC,"13,571"
Irondale city,Alabama,AL,"13,545"
Western Springs village,Illinois,IL,"13,529"
Harrison city,Ohio,OH,"13,526"
Marion city,Arkansas,AR,"13,524"
Shorewood village,Wisconsin,WI,"13,521"
Edgewood city,Washington,WA,"13,496"
Henderson city,Texas,TX,"13,485"
Manchester city,Tennessee,TN,"13,484"
Jerome city,Idaho,ID,"13,481"
Woodland Park borough,New Jersey,NJ,"13,477"
Kingston borough,Pennsylvania,PA,"13,476"
Lewisburg city,Tennessee,TN,"13,473"
La Grange Park village,Illinois,IL,"13,459"
Hawaiian Gardens city,California,CA,"13,457"
Warrensville Heights city,Ohio,OH,"13,450"
Soddy-Daisy city,Tennessee,TN,"13,430"
North Palm Beach village,Florida,FL,"13,423"
Monument town,Colorado,CO,"13,408"
Pottsville city,Pennsylvania,PA,"13,404"
East Cleveland city,Ohio,OH,"13,402"
Ridgefield Park village,New Jersey,NJ,"13,400"
D'Iberville city,Mississippi,MS,"13,399"
Webb City city,Missouri,MO,"13,391"
Coatesville city,Pennsylvania,PA,"13,390"
Orangeburg city,South Carolina,SC,"13,378"
Liberty Lake city,Washington,WA,"13,353"
Mountain Home city,Arkansas,AR,"13,348"
Moberly city,Missouri,MO,"13,337"
Washington city,Pennsylvania,PA,"13,334"
Smyrna town,Delaware,DE,"13,326"
Richmond city,Texas,TX,"13,305"
Clayton city,Ohio,OH,"13,296"
Sault Ste. Marie city,Michigan,MI,"13,288"
Bloomsburg town,Pennsylvania,PA,"13,286"
Connersville city,Indiana,IN,"13,282"
Englewood city,Ohio,OH,"13,282"
Atlantic Beach city,Florida,FL,"13,279"
Eureka city,Missouri,MO,"13,277"
Loveland city,Ohio,OH,"13,277"
Lake Forest Park city,Washington,WA,"13,276"
Greenville village,Wisconsin,WI,"13,273"
University Heights city,Ohio,OH,"13,265"
Cambridge city,Maryland,MD,"13,262"
Blackfoot city,Idaho,ID,"13,224"
Sedro-Woolley city,Washington,WA,"13,215"
South Miami city,Florida,FL,"13,207"
Endicott village,New York,NY,"13,199"
Union city,Missouri,MO,"13,198"
Holly Hill city,Florida,FL,"13,183"
South Charleston city,West Virginia,WV,"13,177"
Beeville city,Texas,TX,"13,176"
California City city,California,CA,"13,174"
Enumclaw city,Washington,WA,"13,173"
Florida City city,Florida,FL,"13,157"
Stoughton city,Wisconsin,WI,"13,134"
Santa Fe city,Texas,TX,"13,131"
Kingsburg city,California,CA,"13,128"
Sterling city,Colorado,CO,"13,114"
Suamico village,Wisconsin,WI,"13,109"
Vadnais Heights city,Minnesota,MN,"13,108"
Claremont city,New Hampshire,NH,"13,105"
Baraboo city,Wisconsin,WI,"13,096"
Newcastle city,Washington,WA,"13,072"
Fostoria city,Ohio,OH,"13,063"
La Grande city,Oregon,OR,"13,058"
Lincolnwood village,Illinois,IL,"13,055"
Amherst city,Ohio,OH,"13,048"
Lincoln city,Illinois,IL,"13,047"
Marietta city,Ohio,OH,"13,039"
Hazel Crest village,Illinois,IL,"13,036"
Lake Station city,Indiana,IN,"13,033"
Jennings city,Missouri,MO,"13,024"
Cedarburg city,Wisconsin,WI,"13,011"
Butler city,Pennsylvania,PA,"13,010"
Sandy city,Oregon,OR,"12,990"
Robinson city,Texas,TX,"12,986"
Grand Terrace city,California,CA,"12,979"
Rochester city,Michigan,MI,"12,978"
Mandeville city,Louisiana,LA,"12,973"
Dover city,Ohio,OH,"12,946"
Cottonwood city,Arizona,AZ,"12,939"
Garden City city,Idaho,ID,"12,936"
Granbury city,Texas,TX,"12,934"
Oakland borough,New Jersey,NJ,"12,926"
Derby city,Connecticut,CT,"12,915"
West Carrollton city,Ohio,OH,"12,911"
Minooka village,Illinois,IL,"12,907"
Canton city,Illinois,IL,"12,896"
Miami city,Oklahoma,OK,"12,886"
Carencro city,Louisiana,LA,"12,883"
Washington city,Indiana,IN,"12,881"
Carpinteria city,California,CA,"12,876"
Branson city,Missouri,MO,"12,869"
Solana Beach city,California,CA,"12,868"
Big Lake city,Minnesota,MN,"12,855"
Poquoson city,Virginia,VA,"12,854"
Mounds View city,Minnesota,MN,"12,841"
Bedford city,Ohio,OH,"12,834"
Red Bank borough,New Jersey,NJ,"12,830"
Larkspur city,California,CA,"12,807"
Smithfield town,North Carolina,NC,"12,806"
Bexley city,Ohio,OH,"12,793"
Crossville city,Tennessee,TN,"12,785"
Lake City city,Florida,FL,"12,783"
Port Washington city,Wisconsin,WI,"12,750"
Sharon city,Pennsylvania,PA,"12,744"
Belgrade city,Montana,MT,"12,741"
Grafton village,Wisconsin,WI,"12,741"
Kelso city,Washington,WA,"12,737"
Ottawa city,Kansas,KS,"12,733"
West Point city,Utah,UT,"12,726"
Bastrop city,Texas,TX,"12,720"
Marysville city,California,CA,"12,714"
Las Vegas city,New Mexico,NM,"12,711"
Haddonfield borough,New Jersey,NJ,"12,707"
Lindsay city,California,CA,"12,706"
St. Ann city,Missouri,MO,"12,704"
West Plains city,Missouri,MO,"12,704"
Greenville city,Ohio,OH,"12,701"
Cheney city,Washington,WA,"12,700"
El Dorado city,Kansas,KS,"12,694"
Plano city,Illinois,IL,"12,677"
Tremonton city,Utah,UT,"12,677"
Palos Verdes Estates city,California,CA,"12,668"
Wickliffe city,Ohio,OH,"12,659"
Byram city,Mississippi,MS,"12,656"
San Anselmo town,California,CA,"12,645"
North St. Paul city,Minnesota,MN,"12,644"
Bound Brook borough,New Jersey,NJ,"12,643"
Gig Harbor city,Washington,WA,"12,643"
Wilmington city,Ohio,OH,"12,639"
Rathdrum city,Idaho,ID,"12,626"
Mendota city,California,CA,"12,623"
Lovejoy city,Georgia,GA,"12,612"
Camp Verde town,Arizona,AZ,"12,608"
Sussex village,Wisconsin,WI,"12,607"
Woodhaven city,Michigan,MI,"12,575"
Fulton city,Missouri,MO,"12,573"
Leeds city,Alabama,AL,"12,573"
Poulsbo city,Washington,WA,"12,562"
Artesia city,New Mexico,NM,"12,550"
Webster city,Texas,TX,"12,548"
Gaffney city,South Carolina,SC,"12,546"
Lantana town,Florida,FL,"12,545"
Grover Beach city,California,CA,"12,534"
Danville town,Indiana,IN,"12,532"
Freehold borough,New Jersey,NJ,"12,530"
Brown Deer village,Wisconsin,WI,"12,527"
Paradise Valley town,Arizona,AZ,"12,523"
Richton Park village,Illinois,IL,"12,504"
Levelland city,Texas,TX,"12,494"
Winnetka village,Illinois,IL,"12,494"
North Adams city,Massachusetts,MA,"12,492"
West Monroe city,Louisiana,LA,"12,476"
Cloquet city,Minnesota,MN,"12,475"
Boone city,Iowa,IA,"12,461"
St. Peter city,Minnesota,MN,"12,456"
James Island town,South Carolina,SC,"12,451"
Patchogue village,New York,NY,"12,447"
Haverstraw village,New York,NY,"12,445"
Elgin city,Texas,TX,"12,438"
Doraville city,Georgia,GA,"12,436"
Effingham city,Illinois,IL,"12,434"
Northlake city,Illinois,IL,"12,433"
Yeadon borough,Pennsylvania,PA,"12,405"
Melvindale city,Michigan,MI,"12,401"
Geneva city,New York,NY,"12,397"
Guymon city,Oklahoma,OK,"12,397"
Somerset city,Kentucky,KY,"12,389"
Palmer Town city,Massachusetts,MA,"12,388"
Dunkirk city,New York,NY,"12,379"
Fort Atkinson city,Wisconsin,WI,"12,377"
Show Low city,Arizona,AZ,"12,366"
Eufaula city,Alabama,AL,"12,363"
St. Marys city,Pennsylvania,PA,"12,361"
Blytheville city,Arkansas,AR,"12,359"
Susanville city,California,CA,"12,359"
Choctaw city,Oklahoma,OK,"12,358"
Conneaut city,Ohio,OH,"12,357"
Lincolnton city,North Carolina,NC,"12,353"
Meadville city,Pennsylvania,PA,"12,347"
Glen Rock borough,New Jersey,NJ,"12,346"
Forrest City city,Arkansas,AR,"12,340"
Greensburg city,Indiana,IN,"12,317"
Emmaus borough,Pennsylvania,PA,"12,314"
Escanaba city,Michigan,MI,"12,296"
Streator city,Illinois,IL,"12,295"
Flowery Branch city,Georgia,GA,"12,292"
Newman city,California,CA,"12,292"
Jefferson Hills borough,Pennsylvania,PA,"12,291"
Beatrice city,Nebraska,NE,"12,290"
East Bethel city,Minnesota,MN,"12,288"
Rantoul village,Illinois,IL,"12,268"
Justice village,Illinois,IL,"12,267"
Ionia city,Michigan,MI,"12,265"
DeForest village,Wisconsin,WI,"12,260"
North Branch city,Minnesota,MN,"12,258"
Hasbrouck Heights borough,New Jersey,NJ,"12,253"
Herrin city,Illinois,IL,"12,253"
Crestwood city,Missouri,MO,"12,239"
River Edge borough,New Jersey,NJ,"12,235"
South Lyon city,Michigan,MI,"12,219"
Somersworth city,New Hampshire,NH,"12,218"
Burley city,Idaho,ID,"12,211"
Babylon village,New York,NY,"12,193"
Lawrenceburg city,Kentucky,KY,"12,189"
El Campo city,Texas,TX,"12,176"
Hartsville/Trousdale County,Tennessee,TN,"12,159"
Archdale city,North Carolina,NC,"12,147"
Baker city,Louisiana,LA,"12,147"
Kewanee city,Illinois,IL,"12,146"
Macedonia city,Ohio,OH,"12,139"
Grenada city,Mississippi,MS,"12,138"
New Baltimore city,Michigan,MI,"12,132"
Sylacauga city,Alabama,AL,"12,123"
Fortuna city,California,CA,"12,114"
Lawrenceburg city,Tennessee,TN,"12,112"
Madison city,Indiana,IN,"12,108"
San Marino city,California,CA,"12,105"
Wellington town,Colorado,CO,"12,100"
Palos Heights city,Illinois,IL,"12,088"
Irmo town,South Carolina,SC,"12,086"
Red Bank city,Tennessee,TN,"12,073"
Wallington borough,New Jersey,NJ,"12,060"
Weatherford city,Oklahoma,OK,"12,047"
Lenoir City city,Tennessee,TN,"12,041"
Lindon city,Utah,UT,"12,018"
Picayune city,Mississippi,MS,"12,017"
Riverview city,Michigan,MI,"12,011"
Elizabethtown borough,Pennsylvania,PA,"11,993"
Liberty Hill city,Texas,TX,"11,984"
Ontario city,Oregon,OR,"11,957"
Martinsville city,Indiana,IN,"11,952"
Airway Heights city,Washington,WA,"11,950"
Guttenberg town,New Jersey,NJ,"11,945"
Pleasant Hill city,Iowa,IA,"11,942"
Victoria city,Minnesota,MN,"11,937"
Miami Shores village,Florida,FL,"11,917"
Prineville city,Oregon,OR,"11,917"
River Forest village,Illinois,IL,"11,909"
Selma city,Texas,TX,"11,900"
Yorktown town,Indiana,IN,"11,900"
Gladstone city,Oregon,OR,"11,898"
Oregon village,Wisconsin,WI,"11,895"
Borger city,Texas,TX,"11,892"
Commerce city,California,CA,"11,882"
Fenton city,Michigan,MI,"11,882"
New Kensington city,Pennsylvania,PA,"11,877"
Vermillion city,South Dakota,SD,"11,877"
Holmen village,Wisconsin,WI,"11,866"
Rolesville town,North Carolina,NC,"11,854"
Bellmawr borough,New Jersey,NJ,"11,846"
Los Alamitos city,California,CA,"11,846"
Fort Morgan city,Colorado,CO,"11,835"
Platteville city,Wisconsin,WI,"11,833"
Tarrytown village,New York,NY,"11,829"
Douglas city,Georgia,GA,"11,828"
Scotts Valley city,California,CA,"11,828"
Campbellsville city,Kentucky,KY,"11,820"
Troy city,Illinois,IL,"11,810"
Kings Mountain city,North Carolina,NC,"11,797"
Sebring city,Florida,FL,"11,795"
Moss Point city,Mississippi,MS,"11,791"
Portales city,New Mexico,NM,"11,789"
Wilton Manors city,Florida,FL,"11,788"
Centralia city,Illinois,IL,"11,787"
Richfield village,Wisconsin,WI,"11,783"
Fredericksburg city,Texas,TX,"11,766"
McComb city,Mississippi,MS,"11,762"
Ringwood borough,New Jersey,NJ,"11,762"
Arkansas City city,Kansas,KS,"11,761"
Little Chute village,Wisconsin,WI,"11,761"
Franklin city,Ohio,OH,"11,758"
Woodward city,Oklahoma,OK,"11,750"
Locust Grove city,Georgia,GA,"11,749"
Fair Oaks Ranch city,Texas,TX,"11,744"
McCordsville town,Indiana,IN,"11,744"
Niles city,Michigan,MI,"11,738"
Middleton city,Idaho,ID,"11,730"
North Logan city,Utah,UT,"11,727"
Yelm city,Washington,WA,"11,715"
Rincon city,Georgia,GA,"11,701"
Lovington city,New Mexico,NM,"11,693"
Evanston city,Wyoming,WY,"11,691"
Covington city,Louisiana,LA,"11,686"
Salem city,Ohio,OH,"11,685"
Guthrie city,Oklahoma,OK,"11,682"
Winfield city,Kansas,KS,"11,678"
Ridgefield borough,New Jersey,NJ,"11,666"
Brookhaven city,Mississippi,MS,"11,654"
Monmouth city,Oregon,OR,"11,651"
Gulfport city,Florida,FL,"11,645"
Roma city,Texas,TX,"11,635"
Storm Lake city,Iowa,IA,"11,627"
Town and Country city,Missouri,MO,"11,625"
Gloucester City city,New Jersey,NJ,"11,618"
East Grand Rapids city,Michigan,MI,"11,616"
New Albany city,Ohio,OH,"11,604"
Grandview city,Washington,WA,"11,599"
Oskaloosa city,Iowa,IA,"11,575"
Lowell city,Arkansas,AR,"11,568"
Bucyrus city,Ohio,OH,"11,567"
Pineville town,North Carolina,NC,"11,567"
Merriam city,Kansas,KS,"11,560"
Seven Hills city,Ohio,OH,"11,560"
Severance town,Colorado,CO,"11,554"
Bolivar city,Missouri,MO,"11,549"
Farmington city,Michigan,MI,"11,547"
Lower Burrell city,Pennsylvania,PA,"11,542"
Mendota Heights city,Minnesota,MN,"11,542"
Batesville city,Arkansas,AR,"11,539"
Petal city,Mississippi,MS,"11,538"
Suffern village,New York,NY,"11,537"
